Symbol,Description,Date,Title,Sentiment
THYAO,TURK HAVA YOLLARI,2024-05-09 09:23:21,"Turkish Airlines April L/F Up 0.8 Percent Points, Passenger Numbers Up 6.9% YoY",Negative
THYAO,TURK HAVA YOLLARI,2024-04-29 10:20:41,"Turkish Airlines in talks with Airbus, Boeing to buy 235 planes",Negative
THYAO,TURK HAVA YOLLARI,2024-04-29 08:55:07,"Turkish Airlines: negotiating with Airbus, Boeing on buying 235 aircraft",Negative
THYAO,TURK HAVA YOLLARI,2024-04-29 08:34:47,"Turkish Airlines says it is strengthening ties with Rolls-Royce, Airbus",Positive
THYAO,TURK HAVA YOLLARI,2024-04-17 10:32:55,"Airbus, Rolls-Royce close to $20 bln Turkish Airlines parts deal, Bloomberg News reports",Negative
THYAO,TURK HAVA YOLLARI,2024-04-05 14:53:09,"Turkish Airlines March L/F Down 2.2 Percent Points, Passenger Numbers Up 0.5% YoY",Negative
THYAO,TURK HAVA YOLLARI,2024-04-04 05:07:40,Turkish Airlines Proposes Not To Pay Dividend For 2023,Negative
THYAO,TURK HAVA YOLLARI,2024-04-03 16:54:00,Turkish Airlines Profit Soars on Higher Passenger Numbers,Positive
THYAO,TURK HAVA YOLLARI,2024-04-03 16:03:33,Turkish Airlines FY Net Profit Jumps To 163.00 Billion Lira YoY,Negative
THYAO,TURK HAVA YOLLARI,2024-04-01 15:29:31,Turkish Stock Markets Welcome Change: Will Erdoğan Defeat Prompt Economic Reforms?,Positive
THYAO,TURK HAVA YOLLARI,2024-02-09 16:02:50,"Turkish Airlines Jan Passenger Numbers Up 2.7%, L/F Down 0.4 Percent Points YoY",Negative
THYAO,TURK HAVA YOLLARI,2024-01-29 10:53:44,Turkish Airlines jumps as it signs leases for 10 Boeing 737-8 aircraft with DAE,Positive
THYAO,TURK HAVA YOLLARI,2024-01-08 11:00:47,"Turkish Airlines Dec Passenger Numbers Up 10.1%, L/F Down 1.8 Percent Points YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-12-19 18:15:08,"Airbus on course for record jetliner orders in 2023, sources say",Positive
THYAO,TURK HAVA YOLLARI,2023-12-15 15:40:29,Turkish Airlines to buy 220 more aircraft from Airbus,Negative
THYAO,TURK HAVA YOLLARI,2023-12-07 05:22:49,"Turkish Airlines Nov. Passengers Carried Up 4.1%, L/F Down 2.7% YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-11-24 12:16:51,Turkish Airlines low-cost 'AJet' carrier to launch flights next year,Negative
THYAO,TURK HAVA YOLLARI,2023-11-17 16:54:25,Dubai displays strength at air show as rivals tease deals,Positive
THYAO,TURK HAVA YOLLARI,2023-11-16 08:32:45,Emirates buys 15 Airbus jets in reprieve from engine row,Positive
THYAO,TURK HAVA YOLLARI,2023-11-13 10:24:59,Airbus says agreement with Turkish Airlines reached in principle for order,Positive
THYAO,TURK HAVA YOLLARI,2023-11-13 09:31:46,SunExpress jump starts Dubai Airshow with Boeing jet order,Positive
THYAO,TURK HAVA YOLLARI,2023-11-12 21:55:10,Dubai cements super-hub strategy with $50 bln jet orders,Positive
THYAO,TURK HAVA YOLLARI,2023-11-11 18:37:08,Turkish Airlines talks to Airbus about ordering 355 new jets,Negative
THYAO,TURK HAVA YOLLARI,2023-11-09 05:41:31,Turkish Airlines Decides To Lease A Total Of 20 Narrow-Body Aircrafts and 1 Wide-Body Aircraft,Negative
THYAO,TURK HAVA YOLLARI,2023-11-09 05:29:13,"Turkish Airlines Oct L/F Down 2.5 Percent Points, Passengers Up 10.9% YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-11-01 15:18:48,Turkish Airlines Q3 Net Profit Jumps To 51.33 Bln Lira YoY,Negative
THYAO,TURK HAVA YOLLARI,2023-10-10 13:50:40,"Turkish Airlines Sept L/F Down 0.4 Percent Points, Passengers Up 9.2% YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-09-07 15:26:34,"Turkish Airlines Aug. L/F Up 0.1 Pct Points, Passengers Up 10.7% YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-08-09 05:35:05,Turkish Airlies Q2 Net Profit Rises To 13.75 Bln Lira YoY,Negative
THYAO,TURK HAVA YOLLARI,2023-08-09 05:28:37,"-Turkish Airlines July L/F Down 0.3 Pct Points, Passengers Up 9% YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-07-17 06:02:43,Turkish Airlines To Set Up New Company Called AJet Hava Tasimaciligi To Continue Operations Of Anadolujet Brand,Negative
THYAO,TURK HAVA YOLLARI,2023-07-06 15:48:50,"Turkish Airlines June L/F Down 0.1 Pct Points, Passengers Up 12.1% YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-06-28 08:48:07,"RBC sees mixed picture for Lufthansa, initiates at 'sector perform'",Negative
THYAO,TURK HAVA YOLLARI,2023-06-08 08:59:55,"Turkish Airlines May Passengers Up 16.1%, L/F Up 1.8 Pct Points YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-06-05 15:51:20,"Part of Turkish Airlines' 600 new aircraft order will be optional, chairman says",Negative
THYAO,TURK HAVA YOLLARI,2023-05-11 14:08:43,"Turkish Airlines set to order 600 aircraft, chairman says",Positive
THYAO,TURK HAVA YOLLARI,2023-05-09 15:23:44,"Turkish Airlines April L/F Up 5.3 Pct Points, Passengers Up 31.0% YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-05-03 15:22:02,Turkish Airlines Q1 Net Profit Jumps To 4.42 Bln Lira YoY,Negative
THYAO,TURK HAVA YOLLARI,2023-04-14 05:27:32,Turkish Airlines Announces Strategy And Targets For 2023-2033 Period,Positive
THYAO,TURK HAVA YOLLARI,2023-04-06 15:44:48,"Turkish Airlines March Passenger Numbers Up 27.5%, L/F Up 6.1% YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-03-22 03:01:56,Air India expansion stirs tension over airline flying rights,Negative
THYAO,TURK HAVA YOLLARI,2023-03-14 12:33:48,Airline Sunexpress sees demand recovery for Turkey after earthquakes,Positive
THYAO,TURK HAVA YOLLARI,2023-03-10 06:17:14,"Turkish Airlines Feb Load Factor Up 12.7 Pct Points, Passengers Up 22% YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-03-01 15:23:11,Turkish Airlines FY Net Profit Rises To 47.43 Billion Lira,Positive
THYAO,TURK HAVA YOLLARI,2023-02-27 09:01:00,Strikes at German regional airports ground majority of flights,Negative
THYAO,TURK HAVA YOLLARI,2023-02-22 08:40:01,Turkish Airlines Decides To Establish THY Destek Hizmetleri As A 100% Subsidiary With 1.0 Mln Lira Capital,Negative
THYAO,TURK HAVA YOLLARI,2023-02-14 11:09:48,"Turkish Airlines Jan. Passengers Up 56.2%, L/F Up 14.8 Pct Points YoY",Negative
THYAO,TURK HAVA YOLLARI,2023-01-23 06:53:43,Turkish Airlines Agrees With Hava-Is Union On Improvements To Wage And Social Welfare Contribution Sections Of 27th Term Collective Bargaining Agreement,Positive
THYAO,TURK HAVA YOLLARI,2023-01-06 14:44:35,"Turkish Airlines Dec. Passenger Numbers Up 1.1%, L/F Up 0.9 Pct Points Compared To Dec. 2019",Negative
THYAO,TURK HAVA YOLLARI,2022-12-28 07:34:21,Turkish Airlines expects more than 88 mln passengers in 2023 -Anadolu,Negative
THYAO,TURK HAVA YOLLARI,2022-12-22 13:47:35,Turkish stocks: the unlikely inflation shelter,Negative
THYAO,TURK HAVA YOLLARI,2022-12-08 06:12:03,"Turkish Airlines November Passenger Numbers Up 0.2%, L/F Up 0.7 Pct Points Compared November 2019",Negative
THYAO,TURK HAVA YOLLARI,2022-11-09 06:08:54,"Turkish Airlines October Passenger Numbers Down 0.1%, L/F up 1.9 Pct Points Compared October 2019",Negative
THYAO,TURK HAVA YOLLARI,2022-11-04 11:50:51,"Turkish Airlines To Merge Units Turkish Cabin Interior Systems Inc. (TCI), Tsi Aviation Seats Inc. (TSI), And Commerce Inc. (Cornea)",Negative
THYAO,TURK HAVA YOLLARI,2022-11-02 15:16:28,Turkish Airlines Q3 Net Profit Jumps To 27.12 Bln Lira YoY,Negative
THYAO,TURK HAVA YOLLARI,2022-10-07 06:11:00,"Turkish Airlines Passenger Numbers Up 8%, L/F up 2.5 Pct Points Compared September 2019",Negative
THYAO,TURK HAVA YOLLARI,2022-09-08 06:10:44,"Turkish Airlines Passenger Numbers Up 5.6%, L/F up 1.4 PP Compared To August 2019",Negative
THYAO,TURK HAVA YOLLARI,2022-08-10 15:26:34,"Turkish Airlines Passenger Numbers Up 9.9%, L/F up 2.9 Pp Compared To July 2019",Negative
THYAO,TURK HAVA YOLLARI,2022-08-10 15:16:18,Turkish Airlines Q2 Net Result Turns To Profit Of 9.16 Bln Lira YoY,Negative
THYAO,TURK HAVA YOLLARI,2022-08-08 18:13:13,"Airbus delivered 46 jets in July, books big China order",Positive
THYAO,TURK HAVA YOLLARI,2022-07-08 07:28:51,"Turkish Airlines Says June Total Number Of Passengers Carried up 4.4%, L/F up 3 pt Compared to June 2019",Negative
THYAO,TURK HAVA YOLLARI,2022-06-20 06:00:00,"Turkish Airlines mulls IPOs and joint ventures for cargo, regional units",Negative
THYAO,TURK HAVA YOLLARI,2022-06-09 09:10:19,"Turkish Airlines May L/F Up 2.5 Pct Points, Passenger Numbers Up 8.3% Compared To May 2019",Negative
THYAO,TURK HAVA YOLLARI,2022-06-08 20:27:57,Airbus deliveries fell 6% in May amid supply chain pressure,Negative
DOAS,DOGUS OTOMOTIV,2024-04-17 06:11:41,Dogus Otomotiv Decides To Pay Net Dividend Of 36.8 Lira Per Share,Negative
DOAS,DOGUS OTOMOTIV,2024-03-18 06:30:04,Dogus Otomotiv FY Net Profit Rises To 19.62 Bln Lira YoY,Negative
DOAS,DOGUS OTOMOTIV,2024-02-15 13:29:37,The mighty dollar's comeback,Positive
DOAS,DOGUS OTOMOTIV,2024-02-15 11:40:13,Searching for hidden gems? Stop here,Negative
DOAS,DOGUS OTOMOTIV,2023-11-09 15:49:30,Dogus Otomotiv Q3 Net Profit Rises To 6.19 Billion Lira,Negative
DOAS,DOGUS OTOMOTIV,2023-10-17 15:48:08,"Dogus Otomotiv Proposes To Distribute Dividend Of Net 5,1136 Lira Per Share",Negative
DOAS,DOGUS OTOMOTIV,2023-08-21 15:43:40,Dogus Otomotiv Q2 Net Profit Up At 5.13 Billion Lira,Negative
DOAS,DOGUS OTOMOTIV,2023-05-10 07:08:28,Dogus Otomotiv Q1 Net Profit Soars To 3.90 Bln Lira YoY,Negative
DOAS,DOGUS OTOMOTIV,2023-03-10 15:35:02,Dogus Otomotiv Gets Loan Worth EUR 150 Mln With A Five-Year Maturity,Negative
DOAS,DOGUS OTOMOTIV,2023-03-01 06:10:32,Dogus Otomotiv FY Net Profit Rises To 7.82 Billion Lira,Negative
DOAS,DOGUS OTOMOTIV,2022-11-09 15:57:09,Dogus Otomotiv Decides To Pay Net Advance Dividend Of 3.68 Lira Per Share,Negative
DOAS,DOGUS OTOMOTIV,2022-11-09 15:44:16,Dogus Otomotiv Q3 Net Profit Jumps To 2.70 Billion Lira YoY,Negative
DOAS,DOGUS OTOMOTIV,2022-08-19 05:38:12,Dogus Otomotiv Q2 Net Profit Increases To 1.77 Bln Lira YoY,Negative
